name,weigted_mean
Night King,-1.6715089796640472
Olly,-1.5831990883470362
Meryn Trant,-1.060733558110901
Cersei Lannister,-1.0156138411817732
Theon Greyjoy,-0.9535366910565125
Viserion,-0.8422970872645694
Ellaria Sand,-0.8393428443481298
Shae,-0.8348298893942657
Joffrey Baratheon,-0.8276166414787781
Ramsay Bolton,-0.8249429098444131
Rhaegal,-0.803182111502305
Gregor Clegane (“The Mountain”),-0.765027476081589
Daenerys Targaryen,-0.7050839925299426
Lysa Arryn,-0.6995650988031742
Euron Greyjoy,-0.6862953862899254
Arya Stark,-0.6083712282844908
Robb Stark,-0.575122300895051
Drogon,-0.5125188509570493
Jon Snow,-0.5108621272211624
Talisa Stark,-0.4992417048692819
Jojen Reed,-0.48260761233477995
Tommen Baratheon,-0.4472192217798465
Rickon Stark,-0.44184856885163587
Ned Stark,-0.4273499929731801
Grand Maester Pycelle,-0.42154008360949224
Bran Stark,-0.41642606536331617
Hodor,-0.41117363503457593
Walder Frey,-0.396465591915803
Roose Bolton,-0.3955440457366038
Grey Worm,-0.374994704250061
Ygritte,-0.37288939841782204
Stannis Baratheon,-0.3644467618441001
Randyll Tarly,-0.3441099417556068
Jaime Lannister,-0.315915796702592
Oberyn Martell,-0.3098033312705169
Lancel Lannister,-0.30840110299712786
Locke,-0.27848371359798746
Alliser Thorne,-0.2752654062086853
Missandei,-0.2737588498403696
Jorah Mormont,-0.26653251687131985
Catelyn Stark,-0.26031291243037025
Shireen Baratheon,-0.2535304831890474
Sansa Stark,-0.23562557646867996
Melisandre,-0.23121165558382148
Brynden Tully (“The Blackfish”),-0.22887458632070104
Samwell Tarly,-0.1962174688222624
Petyr Baelish (“Littlefinger”),-0.18731605231336096
Lyanna Mormont,-0.1800034910394323
Meera Reed,-0.1785349154313981
Edmure Tully,-0.1690141973373847
Beric Dondarrion,-0.15829911938139618
Maester Aemon,-0.10686567393886223
Benjen Stark,-0.10454188916997316
Robert Baratheon,-0.10159548358661653
Barristan Selmy,-0.09883573061061655
Khal Drogo,-0.087649384640937
Varys,-0.08389703886911773
Tyrion Lannister,-0.05688793398286089
Qyburn,-0.032932934658388056
Tywin Lannister,-0.029069800479361477
Mance Rayder,-0.021010577839713267
Renly Baratheon,-0.01482570690255423
Sandor Clegane (“The Hound”),0.0054871885393717275
Gendry,0.016173374745145415
Osha,0.031088615736591385
High Sparrow,0.03375774793396058
Robin Arryn,0.05388407935360012
Loras Tyrell,0.06001763685396029
Jaqen H'ghar,0.12404976136650846
Gilly,0.15133363212131634
Thoros of Myr,0.15422490184525234
Bronn,0.1556335501792697
Yara Greyjoy,0.1556701292996605
Brienne of Tarth,0.17334906659231195
Olenna Tyrell,0.18732297531937972
Daario Naharis,0.2055018023464905
Davos Seaworth,0.3350130086783738
Margaery Tyrell,0.35089380760944683
Tormund Giantsbane,0.4386687382472985
Podrick Payne,0.4542476744006256
